i,book_id,title,authors,original_publication_year,average_rating,tags_text,small_image_url,ratings_count,ratings_1,ratings_2,ratings_3,ratings_4,ratings_5,isbn13,image_url,google_cover_url,google_cover_url_large
2139,2140,"Caliban's War (The Expanse, #2)",James S.A. Corey,2012.0,4.28,currently-reading to-read science-fiction sci-fi fiction,https://images.gr-assets.com/books/1407572377s/12591698.jpg,39138,105,518,5433,22704,20681,9781841499900,https://images.gr-assets.com/books/1407572377m/12591698.jpg,,
2140,2141,"Barely Breathing (Breathing, #2)",Rebecca Donovan,2012.0,4.33,to-read favorites currently-reading romance young-adult,https://images.gr-assets.com/books/1347885288s/13454149.jpg,53483,662,1678,7250,18797,32698,9781452440030,https://images.gr-assets.com/books/1347885288m/13454149.jpg,,
2141,2142,The Iliad/The Odyssey,"Homer, Robert Fagles, Bernard Knox",-762.0,4.03,classics fiction poetry favorites classic,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,47825,916,2608,10439,17404,19731,9780147712550,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,,
2142,2143,Kingdom Come,"Mark Waid, Alex Ross, Elliot S. Maggin",1996.0,4.24,to-read comics graphic-novels graphic-novel favorites,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,43036,926,1529,6278,13434,23141,9781563893310,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,,
2143,2144,Papillon,Henri Charrière,1969.0,4.23,currently-reading non-fiction fiction biography adventure,https://images.gr-assets.com/books/1327865561s/6882.jpg,39073,349,1145,6297,15869,19697,9780061120660,https://images.gr-assets.com/books/1327865561m/6882.jpg,,
2144,2145,Tipping the Velvet,Sarah Waters,1998.0,4.0,to-read historical-fiction fiction currently-reading lgbt,https://images.gr-assets.com/books/1388633460s/56373.jpg,36560,1259,2297,8646,15936,17101,9781573227890,https://images.gr-assets.com/books/1388633460m/56373.jpg,,
2145,2146,"The Wishing Spell (The Land of Stories, #1)","Chris Colfer, Brandon Dorman",2012.0,4.21,to-read middle-grade books-i-own fantasy currently-reading,https://images.gr-assets.com/books/1326920505s/11607446.jpg,51752,1615,2394,7814,14231,29129,9780316201580,https://images.gr-assets.com/books/1326920505m/11607446.jpg,,
2146,2147,The 19th Wife,David Ebershoff,2008.0,3.63,to-read currently-reading historical historical-fiction bookclub,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,44921,1014,3888,16023,20874,8235,9781400063970,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,,
2147,2148,Monster,Walter Dean Myers,1999.0,3.7,to-read young-adult currently-reading ya fiction,https://images.gr-assets.com/books/1404962824s/44184.jpg,47533,1485,4418,13848,16267,12381,9780064407310,https://images.gr-assets.com/books/1404962824m/44184.jpg,,
2148,2149,"A Song of Ice and Fire (A Song of Ice and Fire, #1-4)",George R.R. Martin,2011.0,4.63,to-read currently-reading fantasy fiction favorites,https://images.gr-assets.com/books/1328046798s/9814682.jpg,28654,219,431,1953,8453,28118,9780345529050,https://images.gr-assets.com/books/1328046798m/9814682.jpg,,
2149,2150,"Body of Evidence (Kay Scarpetta, #2)",Patricia Cornwell,1991.0,4.0,to-read mystery crime fiction currently-reading,https://images.gr-assets.com/books/1341835877s/132336.jpg,50113,217,1341,12822,23041,16231,9780743493920,https://images.gr-assets.com/books/1341835877m/132336.jpg,,
2150,2151,Saga #1,"Brian K. Vaughan, Fiona Staples",2012.0,4.15,to-read graphic-novels comics graphic-novel favorites,https://images.gr-assets.com/books/1358637990s/16148398.jpg,38729,2085,1897,4707,9555,20757,,https://images.gr-assets.com/books/1358637990m/16148398.jpg,,
2151,2152,"Perfect (Pretty Little Liars, #3)",Sara Shepard,2007.0,4.02,to-read currently-reading young-adult pretty-little-liars mystery,https://images.gr-assets.com/books/1363681820s/1651302.jpg,50922,638,2800,12529,18078,20985,9780060887380,https://images.gr-assets.com/books/1363681820m/1651302.jpg,,
2152,2153,"The Secret of Ella and Micha (The Secret, #1)",Jessica Sorensen,2012.0,4.01,new-adult romance favorites to-read contemporary,https://images.gr-assets.com/books/1365638597s/15717876.jpg,59890,1248,3360,12841,23872,24206,9781939045010,https://images.gr-assets.com/books/1365638597m/15717876.jpg,,
2153,2154,"Hounded (The Iron Druid Chronicles, #1)",Kevin Hearne,2011.0,4.12,to-read fantasy urban-fantasy currently-reading favorites,https://images.gr-assets.com/books/1327883998s/9533378.jpg,51086,850,2097,9272,22127,22929,9780345522470,https://images.gr-assets.com/books/1327883998m/9533378.jpg,,
2154,2155,From a Buick 8,Stephen King,2002.0,3.42,to-read currently-reading owned king books-i-own,https://images.gr-assets.com/books/1304686732s/22076.jpg,47320,2180,6822,17825,14139,9113,9780743211380,https://images.gr-assets.com/books/1304686732m/22076.jpg,,
2155,2156,"Red Mars (Mars Trilogy, #1)",Kim Stanley Robinson,1993.0,3.84,to-read currently-reading science-fiction sci-fi fiction,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,46121,1447,3878,11453,17472,15534,9780553560730,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,,
2156,2157,The Yellow Wall-Paper,"Charlotte Perkins Gilman, Elaine Hedges",1892.0,4.11,classics short-stories favorites to-read horror,https://images.gr-assets.com/books/1351778524s/286957.jpg,44677,753,2266,9783,20098,22693,9781558611580,https://images.gr-assets.com/books/1351778524m/286957.jpg,,
2157,2158,The Time Machine/The Invisible Man,"H.G. Wells, Alfred MacAdam",1968.0,4.08,to-read currently-reading classic owned classics,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,47600,386,1677,9917,18120,18303,9781593083250,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,,
2158,2159,"Sea Swept (Chesapeake Bay Saga, #1)",Nora Roberts,1998.0,4.24,to-read romance nora-roberts contemporary-romance contemporary,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,48078,379,1135,8313,16669,23604,9780515121840,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,,
2159,2160,"The Blinding Knife (Lightbringer, #2)",Brent Weeks,2012.0,4.45,to-read fantasy currently-reading favorites epic-fantasy,https://images.gr-assets.com/books/1338432693s/12499290.jpg,42445,135,514,3637,16495,26488,9780316079910,https://images.gr-assets.com/books/1338432693m/12499290.jpg,,
2160,2161,Since You've Been Gone,Morgan Matson,2014.0,4.19,to-read currently-reading favorites contemporary young-adult,https://images.gr-assets.com/books/1377702326s/18189606.jpg,59705,888,2083,9489,23131,28858,9781442435000,https://images.gr-assets.com/books/1377702326m/18189606.jpg,,
2161,2162,An Object of Beauty,Steve Martin,2010.0,3.58,to-read currently-reading fiction art favorites,https://images.gr-assets.com/books/1289520035s/7907803.jpg,42488,2252,4559,13195,13142,10617,9780446573640,https://images.gr-assets.com/books/1289520035m/7907803.jpg,,
2162,2163,What to Expect When You're Expecting,"Heidi Murkoff, Arlene Eisenberg, Sandee Hathaway",1969.0,3.75,non-fiction parenting nonfiction pregnancy currently-reading,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,34120,2049,3488,9575,12437,12542,9780761121330,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,,
2163,2164,"The Icebound Land (Ranger's Apprentice, #3)",John Flanagan,2005.0,4.22,to-read fantasy favorites adventure currently-reading,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,48446,462,1389,8564,18008,24172,9780399244570,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,,
2164,2165,"Anybody Out There? (Walsh Family, #4)",Marian Keyes,2006.0,3.91,to-read chick-lit currently-reading fiction favorites,https://images.gr-assets.com/books/1358594290s/165030.jpg,45243,1024,2565,11533,17196,15358,9780061240850,https://images.gr-assets.com/books/1358594290m/165030.jpg,,
2165,2166,"Zero to One: Notes on Startups, or How to Build the Future","Peter Thiel, Blake  Masters",2014.0,4.17,to-read business currently-reading non-fiction startup,https://images.gr-assets.com/books/1414347376s/18050143.jpg,47807,1018,1786,8004,19845,24044,9780804139300,https://images.gr-assets.com/books/1414347376m/18050143.jpg,,
2166,2167,"Empire of Storms (Throne of Glass, #5)",Sarah J. Maas,2016.0,4.58,to-read currently-reading fantasy favorites young-adult,https://images.gr-assets.com/books/1463107108s/28260587.jpg,63322,717,1192,4416,15635,52281,9781619636070,https://images.gr-assets.com/books/1463107108m/28260587.jpg,,
2167,2168,"A Christmas Carol, The Chimes and The Cricket on the Hearth","Charles Dickens, Katharine Kroeber Wiley",1843.0,4.11,to-read fiction favorites classic currently-reading,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,48557,719,2086,9426,15751,20963,9781593080330,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,,
2168,2169,The Grownup,Gillian Flynn,2014.0,3.54,to-read short-stories fiction horror mystery,https://images.gr-assets.com/books/1441679582s/26025580.jpg,42536,1609,5423,18717,19533,9310,9780804188980,https://images.gr-assets.com/books/1441679582m/26025580.jpg,,
2169,2170,Smoke and Mirrors: Short Fiction and Illusions,Neil Gaiman,1998.0,4.05,to-read fantasy currently-reading short-stories fiction,https://images.gr-assets.com/books/1409595076s/16790.jpg,46486,246,1631,10927,22352,17579,9780380789020,https://images.gr-assets.com/books/1409595076m/16790.jpg,,
2170,2171,"The Oath of the Vayuputras (Shiva Trilogy, #3)",Amish Tripathi,2013.0,3.66,to-read indian-authors indian owned books-i-own,https://images.gr-assets.com/books/1357242702s/12820793.jpg,35936,1056,4142,11627,13143,9659,9789382618350,https://images.gr-assets.com/books/1357242702m/12820793.jpg,,
2171,2172,Welcome to the Monkey House,Kurt Vonnegut Jr.,1968.0,4.13,to-read currently-reading fiction short-stories favorites,https://images.gr-assets.com/books/1381107552s/4985.jpg,40071,153,970,7970,17613,16119,9780385333500,https://images.gr-assets.com/books/1381107552m/4985.jpg,,
2172,2173,Dad Is Fat,Jim Gaffigan,2013.0,3.76,to-read currently-reading humor non-fiction nonfiction,https://images.gr-assets.com/books/1354052742s/16141924.jpg,40489,827,3199,13535,17973,11233,9780385349060,https://images.gr-assets.com/books/1354052742m/16141924.jpg,,
2173,2174,Truman,David McCullough,1992.0,4.15,to-read currently-reading biography history presidents,https://images.gr-assets.com/books/1364681969s/2279.jpg,53088,1869,2168,7817,17033,25817,9780671869200,https://images.gr-assets.com/books/1364681969m/2279.jpg,,
2174,2175,Alexander Hamilton,Ron Chernow,2004.0,4.26,to-read currently-reading history non-fiction biography,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,46198,1034,1503,6338,17059,25620,9780143034760,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,,
2175,2176,The Cat in the Hat and Other Dr. Seuss Favorites,"Dr. Seuss, Various",2003.0,4.41,to-read childrens children children-s-books children-s,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,46279,345,1074,6208,10530,28155,9780807218730,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,,
2176,2177,Dead Souls,"Nikolai Gogol, Robert A. Maguire",1842.0,3.98,to-read currently-reading classics fiction russian,https://images.gr-assets.com/books/1387201057s/28381.jpg,40699,800,2681,10126,17055,17000,9780140448080,https://images.gr-assets.com/books/1387201057m/28381.jpg,,
2177,2178,"The Deal (Off-Campus, #1)",Elle Kennedy,2015.0,4.3,favorites new-adult romance currently-reading contemporary,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,75699,1149,1849,9049,27132,40227,,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,,
2178,2179,"The Crown (The Selection, #5)",Kiera Cass,2016.0,3.8,to-read young-adult romance favorites dystopian,https://images.gr-assets.com/books/1446759650s/26074181.jpg,64158,1953,6304,18648,22933,22693,9780062392180,https://images.gr-assets.com/books/1446759650m/26074181.jpg,,
2179,2180,"Zero Day (John Puller, #1)",David Baldacci,2011.0,3.99,to-read currently-reading thriller david-baldacci fiction,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,38649,715,1862,10198,20747,15400,9780446573020,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,,
2180,2181,Tikki Tikki Tembo,"Arlene Mosel, Blair Lent",1968.0,4.21,picture-books childrens children-s-books children children-s,https://images.gr-assets.com/books/1317064300s/551876.jpg,52536,856,1890,9126,14715,26574,9780312367480,https://images.gr-assets.com/books/1317064300m/551876.jpg,,
2181,2182,"Night World, No. 1 (Night World, #1-3)",L.J. Smith,2008.0,4.04,to-read currently-reading young-adult vampires favorites,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,54940,1380,3544,11281,15453,24803,9781416974500,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,,
2182,2183,"Love Unscripted (Love, #1)",Tina Reber,2010.0,4.04,to-read favorites romance currently-reading contemporary-romance,https://images.gr-assets.com/books/1327889844s/8204005.jpg,59261,2247,3641,10316,19456,26708,9781451533960,https://images.gr-assets.com/books/1327889844m/8204005.jpg,,
2183,2184,"Pop Goes the Weasel (Alex Cross, #5)",James Patterson,1999.0,3.98,currently-reading alex-cross crime patterson series,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,46820,270,1642,12009,20463,15063,9780446608820,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,,
2184,2185,"Bully (Fall Away, #1)",Penelope Douglas,2013.0,4.15,to-read favorites romance new-adult currently-reading,https://images.gr-assets.com/books/1392309572s/20803953.jpg,34789,1570,3165,10980,24110,32692,,https://images.gr-assets.com/books/1392309572m/20803953.jpg,,
2185,2186,The Six Wives of Henry VIII,Alison Weir,1980.0,4.1,to-read history currently-reading non-fiction biography,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,47913,858,1471,8871,19013,19402,9780802136830,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,,
2186,2187,We,"Yevgeny Zamyatin, Clarence Brown",1924.0,3.95,to-read currently-reading fiction science-fiction dystopia,https://images.gr-assets.com/books/1421883730s/76171.jpg,40020,732,2786,10532,17972,15957,9780140185850,https://images.gr-assets.com/books/1421883730m/76171.jpg,,
2187,2188,Pigs in Heaven,Barbara Kingsolver,1993.0,3.97,to-read fiction currently-reading favorites contemporary-fiction,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,43374,298,1587,10962,21098,13533,9780571171780,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,,
2188,2189,"The Ghost Brigades (Old Man's War, #2)",John Scalzi,2006.0,4.09,to-read science-fiction sci-fi fiction scifi,https://images.gr-assets.com/books/1403295928s/239399.jpg,40107,141,812,8443,23499,14724,9780765354070,https://images.gr-assets.com/books/1403295928m/239399.jpg,,
2189,2190,"Cry, the Beloved Country",Alan Paton,1948.0,3.87,to-read fiction classics africa favorites,https://images.gr-assets.com/books/1344182368s/6150.jpg,47389,1524,3969,11995,18837,17356,9780743261950,https://images.gr-assets.com/books/1344182368m/6150.jpg,,
2190,2191,Faeries,"Brian Froud, Alan Lee",1978.0,3.89,to-read art currently-reading favorites fantasy,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,38050,2564,2665,7444,9995,16125,,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,,
2191,2192,Confessions of an Ugly Stepsister,Gregory Maguire,1999.0,3.51,to-read fantasy fairy-tales books-i-own favorites,https://images.gr-assets.com/books/1338457460s/18943.jpg,50526,1560,5746,18019,18101,8825,9780060987530,https://images.gr-assets.com/books/1338457460m/18943.jpg,,
2192,2193,How to Be Good,Nick Hornby,2001.0,3.18,fiction to-read contemporary humor books-i-own,https://images.gr-assets.com/books/1327935893s/4268.jpg,37497,2082,8007,18544,11883,4144,9783426615360,https://images.gr-assets.com/books/1327935893m/4268.jpg,,
2193,2194,"Lady Midnight (The Dark Artifices, #1)",Cassandra Clare,2016.0,4.47,to-read currently-reading romance favourites favorites,https://images.gr-assets.com/books/1460477682s/25494343.jpg,84711,1511,1870,7629,22675,59574,9781442468350,https://images.gr-assets.com/books/1460477682m/25494343.jpg,,
2194,2195,"Inkdeath (Inkworld, #3)",Cornelia Funke,2007.0,3.93,to-read books-i-own favorites fiction series,https://images.gr-assets.com/books/1327341991s/2325825.jpg,53591,1518,4052,13029,19302,21737,9781905294720,https://images.gr-assets.com/books/1327341991m/2325825.jpg,,
2195,2196,Foundation's Edge (Foundation #4),Isaac Asimov,1982.0,4.08,to-read science-fiction sci-fi fiction currently-reading,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,47641,244,1590,10484,21051,18497,9780553293390,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,,
2196,2197,Jude the Obscure,Thomas Hardy,1895.0,3.8,classics fiction to-read favorites classic,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,44873,2197,4053,11124,17004,15912,9780486452430,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,,
2197,2198,"Queen of Sorcery (The Belgariad, #2)",David Eddings,1982.0,4.13,to-read fantasy fiction currently-reading favorites,https://images.gr-assets.com/books/1428943169s/587582.jpg,49355,337,1605,9875,19868,21227,9780345335650,https://images.gr-assets.com/books/1428943169m/587582.jpg,,
2198,2199,The Lottery and Other Stories,Shirley Jackson,1949.0,4.06,to-read short-stories fiction classics horror,https://images.gr-assets.com/books/1416448200s/89723.jpg,48608,666,2115,10022,19192,19506,9780374529540,https://images.gr-assets.com/books/1416448200m/89723.jpg,,
2199,2200,"Into the Gauntlet (The 39 Clues, #10)",Margaret Peterson Haddix,2010.0,3.99,to-read 39-clues mystery adventure favorites,https://images.gr-assets.com/books/1357211070s/7182899.jpg,48461,2194,3164,9290,12534,21736,9780545060510,https://images.gr-assets.com/books/1357211070m/7182899.jpg,,
2200,2201,"Wings (Wings, #1)",Aprilynne Pike,2009.0,3.75,to-read fantasy young-adult favorites ya,https://images.gr-assets.com/books/1327983077s/5056084.jpg,62566,2881,6122,16543,19767,20936,9780061668040,https://images.gr-assets.com/books/1327983077m/5056084.jpg,,
2201,2202,"Gossip Girl (Gossip Girl, #1)",Cecily von Ziegesar,2002.0,3.51,young-adult to-read currently-reading ya chick-lit,https://images.gr-assets.com/books/1398814332s/22188.jpg,49670,3166,6824,15756,12851,13370,9780316910330,https://images.gr-assets.com/books/1398814332m/22188.jpg,,
2202,2203,The Odessa File,Frederick Forsyth,1972.0,4.1,to-read thriller fiction currently-reading historical-fiction,https://images.gr-assets.com/books/1348786945s/149572.jpg,42529,167,941,8734,18634,15556,9780553271980,https://images.gr-assets.com/books/1348786945m/149572.jpg,,
2203,2204,The Burgess Boys,Elizabeth Strout,2013.0,3.54,to-read currently-reading fiction book-club contemporary-fiction,https://images.gr-assets.com/books/1351213545s/15823461.jpg,39445,1323,4552,14797,17197,7181,9781400067690,https://images.gr-assets.com/books/1351213545m/15823461.jpg,,
2204,2205,Sapiens: A Brief History of Humankind,Yuval Noah Harari,2011.0,4.41,to-read currently-reading non-fiction favorites nonfiction,https://images.gr-assets.com/books/1420585954s/23692271.jpg,52846,996,1627,6468,19971,42012,,https://images.gr-assets.com/books/1420585954m/23692271.jpg,,
2205,2206,Lies That Chelsea Handler Told Me,"Chelsea Handler, Johnny Kansas, Stephanie Stehling, Heather McDonald, Roy Handler, Brad Wollack, Amber Mazzola, Josh Wolf, Shoshanna Handler, Eva Magdalenski, Amy Meyer, Glen Handler, Dave Mallow, Sarah Colonna",2011.0,3.74,to-read currently-reading humor non-fiction comedy,https://images.gr-assets.com/books/1344264536s/9902804.jpg,37936,1509,3921,10998,12612,12489,9781609411150,https://images.gr-assets.com/books/1344264536m/9902804.jpg,,
2206,2207,"Broken Harbour (Dublin Murder Squad, #4)",Tana French,2012.0,3.92,to-read mystery fiction currently-reading crime,https://images.gr-assets.com/books/1336120776s/10805160.jpg,36704,573,2100,11404,22954,13460,9781444705100,https://images.gr-assets.com/books/1336120776m/10805160.jpg,,
2207,2208,"Down to You (The Bad Boys, #1)",M. Leighton,2013.0,4.05,to-read favorites new-adult contemporary-romance contemporary,https://images.gr-assets.com/books/1347544660s/16001893.jpg,59221,1078,2904,11881,22630,23974,9781301716720,https://images.gr-assets.com/books/1347544660m/16001893.jpg,,
2208,2209,The Complete Works,William Shakespeare,1623.0,4.49,to-read favorites owned currently-reading owned-books,https://images.gr-assets.com/books/1327884293s/569564.jpg,39503,448,695,4279,10908,29680,9780517053610,https://images.gr-assets.com/books/1327884293m/569564.jpg,,
2209,2210,The Dispossessed,Ursula K. Le Guin,1974.0,4.18,to-read science-fiction sci-fi fiction favorites,https://images.gr-assets.com/books/1353467455s/13651.jpg,46660,720,2058,8107,18305,24056,9780061054880,https://images.gr-assets.com/books/1353467455m/13651.jpg,,
2210,2211,"Faceless Killers (Kurt Wallander, #1)","Henning Mankell, Steven T. Murray",1991.0,3.78,to-read mystery crime fiction currently-reading,https://images.gr-assets.com/books/1487941867s/935308.jpg,43861,1030,3054,13488,20301,11685,9781400031570,https://images.gr-assets.com/books/1487941867m/935308.jpg,,
2211,2212,The Confession,John Grisham,2010.0,3.81,to-read fiction john-grisham mystery thriller,https://images.gr-assets.com/books/1320541779s/7933437.jpg,41389,676,2946,13641,20684,11987,9780385528050,https://images.gr-assets.com/books/1320541779m/7933437.jpg,,
2212,2213,Lightning,Dean Koontz,1988.0,4.06,to-read horror dean-koontz fiction favorites,https://images.gr-assets.com/books/1410030512s/32424.jpg,44424,421,1718,10272,17042,17760,9780425192030,https://images.gr-assets.com/books/1410030512m/32424.jpg,,
2213,2214,"Cat and Mouse (Alex Cross, #4)","James Patterson, Keith David, Anthony Heald",1997.0,3.96,to-read james-patterson mystery currently-reading alex-cross,https://images.gr-assets.com/books/1375828879s/21436.jpg,45217,309,1696,12523,20795,14960,9781570425780,https://images.gr-assets.com/books/1375828879m/21436.jpg,,
2214,2215,"Superfudge (Fudge, #3)",Judy Blume,1980.0,3.98,to-read fiction children children-s-books children-s,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,50917,645,2297,13304,18252,18620,9780142408800,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,,
2215,2216,The Couple Next Door,Shari Lapena,2016.0,3.74,mystery fiction to-read suspense mystery-thriller,https://images.gr-assets.com/books/1471502242s/28815474.jpg,63237,1833,6160,23022,30820,19707,9780735221090,https://images.gr-assets.com/books/1471502242m/28815474.jpg,,
2216,2217,"Hallowed (Unearthly, #2)",Cynthia Hand,2012.0,4.15,to-read young-adult favorites angels fantasy,https://images.gr-assets.com/books/1332883896s/11563110.jpg,58860,1021,2388,10205,20685,27008,9780061996180,https://images.gr-assets.com/books/1332883896m/11563110.jpg,,
2217,2218,Ancillary Justice (Imperial Radch #1),Ann Leckie,2013.0,3.97,to-read science-fiction currently-reading sci-fi fiction,https://images.gr-assets.com/books/1397215917s/17333324.jpg,38747,1165,2589,8761,19345,15946,9780316246620,https://images.gr-assets.com/books/1397215917m/17333324.jpg,,
2218,2219,"The Pillars of Creation (Sword of Truth, #7)",Terry Goodkind,2001.0,3.67,to-read fantasy currently-reading sword-of-truth owned,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,43424,2183,5064,11996,12852,13737,9780765340740,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,,
2219,2220,Built to Last: Successful Habits of Visionary Companies,"James C. Collins, Jerry I. Porras",1994.0,3.98,to-read business currently-reading non-fiction leadership,https://images.gr-assets.com/books/1412047084s/4122.jpg,39618,1104,1906,8092,15414,14288,9780060566100,https://images.gr-assets.com/books/1412047084m/4122.jpg,,
2220,2221,The Life We Bury,Allen Eskens,2014.0,3.93,to-read currently-reading mystery fiction book-club,https://images.gr-assets.com/books/1437077793s/20758175.jpg,35689,503,1971,10660,21902,12932,9781616149990,https://images.gr-assets.com/books/1437077793m/20758175.jpg,,
2221,2222,Fireproof,Eric Wilson,2008.0,4.47,to-read christian christian-fiction fiction romance,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,37258,339,692,3702,9222,23633,9781595547160,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,,
2222,2223,"The Eagle Has Landed (Liam Devlin, #1)",Jack Higgins,1975.0,4.15,fiction thriller currently-reading historical-fiction war,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,41677,205,903,7953,17250,16708,9780140273340,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,,
2223,2224,"The Lunatic Cafe (Anita Blake, Vampire Hunter #4)",Laurell K. Hamilton,1996.0,4.12,to-read urban-fantasy vampires paranormal fantasy,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,58023,433,2082,12571,22754,25728,9780425201370,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,,
2224,2225,"John Dies at the End (John Dies at the End, #1)",David Wong,2007.0,3.92,to-read horror currently-reading favorites fiction,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,35387,1532,3228,8812,15451,16061,9780978970760,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,,
2225,2226,The Demon-Haunted World: Science as a Candle in the Dark,"Carl Sagan, Ann Druyan",1995.0,4.27,to-read favorites nonfiction philosophy currently-reading,https://images.gr-assets.com/books/1405201597s/17349.jpg,40583,886,1432,5319,12986,22401,9780345409460,https://images.gr-assets.com/books/1405201597m/17349.jpg,,
2226,2227,Stolen: A Letter to My Captor,Lucy Christopher,2009.0,3.93,to-read favorites young-adult currently-reading ya,https://images.gr-assets.com/books/1311064295s/6408862.jpg,52435,1626,4221,11752,18533,21129,9781906427140,https://images.gr-assets.com/books/1311064295m/6408862.jpg,,
2227,2228,Solaris,Stanisław Lem,1961.0,3.97,to-read science-fiction sci-fi currently-reading fiction,https://images.gr-assets.com/books/1498631519s/95558.jpg,41249,953,2939,10149,17610,17590,,https://images.gr-assets.com/books/1498631519m/95558.jpg,,
2228,2229,Prozac Nation,Elizabeth Wurtzel,1994.0,3.57,to-read currently-reading non-fiction memoir psychology,https://images.gr-assets.com/books/1282607176s/227603.jpg,44408,1978,5481,14145,14063,11104,9781573225120,https://images.gr-assets.com/books/1282607176m/227603.jpg,,
